filename,filepath,author,creation_raw,creation,mod_raw,modification,error
6557-Bis.docx.pdf,6557-Bis.docx.pdf,,,,,,
6565.pdf,6565.pdf,,,,,,
6572.pdf,6572.pdf,Microsoft Office User,D:20241017194440-03'00',2024-10-17T19:44:40-03:00,D:20241017194440-03'00',2024-10-17T19:44:40-03:00,
6572Bisll.pdf,6572Bisll.pdf,Microsoft Office User,D:20241022184839-03'00',2024-10-22T18:48:39-03:00,D:20241022184839-03'00',2024-10-22T18:48:39-03:00,
6575-BIS---.pdf,6575-BIS---.pdf,Microsoft Office User,D:20241029172709-03'00',2024-10-29T17:27:09-03:00,D:20241029172709-03'00',2024-10-29T17:27:09-03:00,
6588.pdf,6588.pdf,Microsoft Office User,D:20241119160427-03'00',2024-11-19T16:04:27-03:00,D:20241119160427-03'00',2024-11-19T16:04:27-03:00,
6591-Bis.pdf,6591-Bis.pdf,Microsoft Office User,D:20241126165638-03'00',2024-11-26T16:56:38-03:00,D:20241126165638-03'00',2024-11-26T16:56:38-03:00,
6609-15-01-2025.pdf,6609-15-01-2025.pdf,,D:20250115152302Z00'00',2025-01-15T15:23:02Z,D:20250115152302Z00'00',2025-01-15T15:23:02Z,
6609-Bis-MD-27.01.2025.pdf,6609-Bis-MD-27.01.2025.pdf,,,,,,
6626-Bis-III-17.02.2025.pdf,6626-Bis-III-17.02.2025.pdf,Lucia Dume,D:20250217150624-03'00',2025-02-17T15:06:24-03:00,D:20250217150624-03'00',2025-02-17T15:06:24-03:00,
6626-Bis-IV-18.02.2025.pdf,6626-Bis-IV-18.02.2025.pdf,,,,,,
6633.pdf,6633.pdf,Lucia Dume,D:20250220172824-03'00',2025-02-20T17:28:24-03:00,D:20250220172824-03'00',2025-02-20T17:28:24-03:00,
Bol-6560-Bis.docx.pdf,Bol-6560-Bis.docx.pdf,,,,,,
Bol-6621-30.01.2025.pdf,Bol-6621-30.01.2025.pdf,,,,,,
Bol.--6654-27.03.2025.pdf,Bol.--6654-27.03.2025.pdf,Lucia Dume,D:20250327190159-03'00',2025-03-27T19:01:59-03:00,D:20250327190159-03'00',2025-03-27T19:01:59-03:00,
Bol.--6680-24.04.2025.pdf,Bol.--6680-24.04.2025.pdf,Lucia Dume,D:20250424184045-03'00',2025-04-24T18:40:45-03:00,D:20250424184045-03'00',2025-04-24T18:40:45-03:00,
Bol.--6682-29.04.2025.pdf,Bol.--6682-29.04.2025.pdf,Lucia Dume,D:20250429174724-03'00',2025-04-29T17:47:24-03:00,D:20250429174724-03'00',2025-04-29T17:47:24-03:00,
